wl [nm],fluo [1/mWms],raman [1/mWms]
810.6452265776422,1.3119069549939484,0.05126781258151766
810.7915068312758,1.3111992837815063,0.059593272979965924
810.9377435935828,1.310465584359343,0.04142083771703199
811.0839368645636,1.309706238286548,0.04424471743553519
811.2300866442183,1.3089216241965609,0.04536932310733055
811.3761929325467,1.3081121178097719,0.03863130846171044
811.522255729549,1.3072780919461056,0.02627379552003941
811.6682750352251,1.3064199165375767,0.046816132796015715
811.8142508495747,1.3055379586408231,0.04372689816494676
811.9601831725982,1.3046325824496126,0.021995435831130283
812.1060720042954,1.3037041493073276,0.028947714204204833
812.2519173446665,1.3027530177194235,0.0286891899274009
812.3977191937113,1.3017795433658632,0.0347607546958324
812.5434775514299,1.3007840791135303,0.0232380348711771
812.6891924178221,1.2997669750286118,0.030506917168504375
812.8348637928882,1.2987285783889615,0.024721304347649912
812.9804916766283,1.2976692336964382,0.026312169167021168
813.1260760690418,1.2965892826892174,0.027206616619419945
813.2716169701291,1.2954890643540815,0.014272641510578417
813.4171143798903,1.2943689149386832,0.018742967801089645
813.5625682983252,1.2932291679637868,0.012341867163932664
813.7079787254338,1.292070154235482,0.027805002079418047
813.8533456612164,1.2908922018573774,0.023929688698475306
813.9986691056724,1.2896956362427667,0.02262712506379103
814.1439490588026,1.288480780126772,0.01954020177579542
814.2891855206062,1.28724795357846,0.023217028025883896
814.434378491084,1.2859974740129396,0.036562951410367535
814.5795279702353,1.284729656203429,0.0315942772444698
814.7246339580603,1.2834448122933013,0.025854583809212132
814.8696964545592,1.2821432518081073,0.01754291294142604
815.0147154597316,1.2808252816675696,0.0026936712030401397
815.1596909735779,1.2794912061975576,0.001511833390396742
815.304622996098,1.2781413271420328,0.0006965158810109222
815.449511527292,1.2767759436749744,0.0006249260311258415
815.5943565671596,1.275395352412278,0.0037079859048899377
815.739158115701,1.2739998474236307,0.0005573606440842783
815.8839161729163,1.2725897202443615,4.6752051455349336e-05
816.0286307388052,1.2711652598872663,0.0017456384197769063
816.173301813368,1.269726752854413,0.0029902009632647745
816.3179293966043,1.2682744831489159,0.000339683110243361
816.4625134885146,1.2668087322866906,0.007134870343997206
816.6070540890987,1.2653297793081828,0.00024325212770530085
816.7515511983563,1.2638379007900713,0.007829112733986711
816.8960048162877,1.2623333708569513,0.008558819318936144
817.0404149428931,1.2608164611929857,0.010032973820428687
817.1847815781723,1.2592874410535422,0.004208975446295321
817.3291047221251,1.2577465772767953,0.017093390691732845
817.4733843747516,1.2561941342953118,0.02885440877558204
817.617620536052,1.2546303741476093,0.029823120375683108
817.7618132060263,1.2530555564896892,0.02304266461329182
817.9059623846741,1.2514699386065473,0.01990999714240976
818.0500680719957,1.2498737754236586,0.029207678436759196
818.1941302679912,1.2482673195184395,0.017306166206505273
818.3381489726604,1.2466508211316831,0.028098846784392242
818.4821241860034,1.2450245281789722,0.030918386016262258
818.62605590802,1.243388686262068,0.016704805453875732
818.7699441387105,1.2417435386802735,0.020180993702269497
818.9137888780748,1.240089326441771,0.010080109711458837
819.0575901261128,1.2384262882749402,0.006117791146661917
819.2013478828245,1.236754660639647,0.0065508834479507914
819.3450621482101,1.2350746777385098,0.007750050404480555
819.4887329222695,1.2333865715281425,0.00024325212770530085
819.6323602050026,1.231690571730371,0.00024325212770530085
819.7759439964093,1.229986905843427,0.00024325212770530085
819.9194842964898,1.2282757991531175,0.003612813866948972
820.0629811052445,1.226557474743968,0.00024325212770530085
820.2064344226726,1.2248321535103444,0.01565522718979194
820.3498442487746,1.2231000541675472,0.006314725050570745
820.4932105835501,1.2213613932628846,0.007531890262899161
820.6365334269997,1.2196163851867192,0.0014491237375661092
820.7798127791227,1.2178652421834901,0.00024325212770530085
820.9230486399198,1.2161081743627127,0.005949102118332611
821.0662410093905,1.2143453897099517,0.008641445181662325
821.2093898875349,1.212577094097772,0.004089110726642992
821.3524952743534,1.2108034912966632,0.00356986796019849
821.4955571698455,1.209024782985942,0.0047191183229652565
821.6385755740113,1.2072411687646272,0.0036332356557241628
821.7815504868507,1.2054528461622938,0.009520003584477868
821.9244819083641,1.2036600106499007,0.007398053552820924
822.0673698385511,1.2018628556505937,0.023434199210079755
822.210214277412,1.2000615725504855,0.026156856405823978
822.3530152249466,1.198256350709412,0.030052264432813898
822.4957726811551,1.19644737747166,0.029324077168495652
822.6384866460373,1.1946348381766765,0.03803480708152963
822.7811571195932,1.1928189161697493,0.03739928220450439
822.9237841018228,1.1909997928126654,0.04181104754206955
823.0663675927265,1.1891776474943434,0.03865473321385042
823.2089075923036,1.1873526576414433,0.03453477333899033
823.3514041005545,1.1855249987289516,0.03804288031402617
823.4938571174793,1.1836948442907398,0.027817316326375685
823.6362666430779,1.1818623659301024,0.030721916739984756
823.7786326773503,1.1800277333302676,0.02898877005404127
823.9209552202964,1.178191114264884,0.025955232849842316
824.063234271916,1.176352674608485,0.034392387348946826
824.2054698322096,1.1745125783469261,0.01806985876635596
824.3476619011769,1.1726709875877999,0.022481757241492793
824.4898104788181,1.1708280625708254,0.01933549290861209
824.6319155651329,1.1689839616782143,0.01929425314308719
824.7739771601216,1.1671388414450115,0.012631253466694314
824.915995263784,1.165292856569412,0.019393423191395833
825.0579698761203,1.163446159923055,0.008590258075768641
825.1999009971303,1.1615989025612887,0.008480110872556486
825.3417886268138,1.159751233733418,0.007530396496585757
825.4836327651714,1.157903300892921,0.01481406254488306
825.6254334122026,1.156055249707646,0.00568508960241007
825.7671905679076,1.1542072240699819,0.0016804859866929643
825.9089042322864,1.152359366107003,0.002853806028060157
